approach,run,ndcg@1_mean,ndcg@1_std,ndcg@3_mean,ndcg@3_std,ndcg@5_mean,ndcg@5_std,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std,map_mean,map_std,auc,precision,recall,f1,params,train_time,category,inference_ms
BM25 (baseline),0,0.7880885197547033,0.352045332406975,0.8682599200226827,0.19976187687412925,0.8961945615322833,0.16030964169940987,0.9080346287070901,0.14592677642049556,0.7902298850574712,0.3559972566884731,0.7719639436234264,0.350136105766817,0.6660919540229885,0.5617816091954022,0.7423234811165845,0.5757115489874111,0,0.0,Retrieval Baseline,
Semantic (baseline),0,0.7315172152607011,0.3544726790693579,0.8416702082994608,0.2273040397978028,0.8936636562948742,0.1476354341517713,0.8977139276434829,0.14414628451559788,0.7729885057471264,0.3575248509194435,0.7571506763624989,0.3499443525718563,0.6720990695128627,0.4732348111658457,0.7114532019704435,0.5321839080459769,0,0.0,Retrieval Baseline,
RRF (baseline),0,0.7290283299976621,0.3683364154313362,0.8587459339715481,0.1871892999738087,0.8877725328275262,0.1570485176096926,0.8961844758515308,0.14446284001829746,0.778735632183908,0.3517034777194079,0.7638290229885057,0.3447342384758366,0.6943486590038315,0.0,0.0,0.0,0,0.0,Retrieval Baseline,
Logistic Regression,0,0.8179402011040132,0.3272661184450681,0.8821866509212707,0.18877566278088476,0.9107075980236224,0.15116354010881466,0.9204241636558513,0.14043897682030154,0.807471264367816,0.3536234497221876,0.7924192665571976,0.3488599712828427,0.764375,0.6301369863013698,0.71875,0.6715328467153284,7,0.010340213775634766,Simple Baseline,
KAN,0,0.8391923706384721,0.31216200486636864,0.8698001053832349,0.19750970570542015,0.909253822830189,0.1547651173958423,0.9216647181436749,0.13879410372556475,0.8229885057471263,0.35332069466398913,0.7816529341621706,0.3406919165874614,0.7879166666666667,0.6470588235294118,0.6875,0.6666666666666666,560,0.15845918655395508,Learned Reranker,0.19034862518310547
XNet,0,0.7124250755911552,0.35337152588567866,0.8467087159080873,0.19198751127824967,0.875453078231091,0.15476110391653314,0.8944859426459641,0.13075380846536577,0.778735632183908,0.3517034777194079,0.7573977148330597,0.3421284885400427,0.7777083333333333,0.6323529411764706,0.671875,0.6515151515151515,177,0.032804250717163086,Learned Reranker,0.024309158325195312
MLP,0,0.8310958175671229,0.32665153102598665,0.88447765852817,0.1830389403485533,0.9157680629244268,0.14621705574570748,0.9256896621654475,0.13135695639350048,0.8132183908045977,0.3471663979434243,0.78955425561029,0.33887690436023127,0.7794791666666666,0.6615384615384615,0.671875,0.6666666666666666,257,0.03822898864746094,Learned Reranker,0.024998188018798828
BM25 (baseline),1,0.7409865349333207,0.3899514201275568,0.8616057346700773,0.1650558119025027,0.886966581892608,0.15020559161262617,0.8952928010748832,0.1501283315901631,0.8555555555555555,0.27464904654018385,0.8206534391534391,0.26966983636424524,0.6312962962962964,0.6749999999999999,0.6944444444444444,0.6364646464646465,0,0.0,Retrieval Baseline,
Semantic (baseline),1,0.7156823036835406,0.39455977467422015,0.8008185267300267,0.28008878209095434,0.8605898452468291,0.17370903757282227,0.8778321369448426,0.1632816638655304,0.7972222222222222,0.32108275538008757,0.7750026455026455,0.30107869985586944,0.5811111111111111,0.518968253968254,0.6824786324786324,0.5491783380018674,0,0.0,Retrieval Baseline,
RRF (baseline),1,0.7536981261254304,0.3699798399967239,0.8685970481207804,0.17246060179059017,0.8880888455934209,0.1507486541976796,0.9003906534508805,0.14444743212243072,0.8499999999999999,0.2833333333333333,0.8179232804232803,0.27599184160701723,0.6258333333333332,0.0,0.0,0.0,0,0.0,Retrieval Baseline,
